_start,_end,_type,_disance
8627,8629,HAS_ROUTE,811
8627,8630,HAS_ROUTE,214
8627,8631,HAS_ROUTE,945
8627,8632,HAS_ROUTE,576
8627,8633,HAS_ROUTE,546
8627,8634,HAS_ROUTE,729
8627,8635,HAS_ROUTE,581
8627,8636,HAS_ROUTE,533
8627,8637,HAS_ROUTE,688
8627,8638,HAS_ROUTE,759
8627,8639,HAS_ROUTE,1941
8627,8640,HAS_ROUTE,761
8627,8641,HAS_ROUTE,404
8627,8642,HAS_ROUTE,596
8627,8643,HAS_ROUTE,906
8627,8644,HAS_ROUTE,606
8627,8645,HAS_ROUTE,545
8627,8646,HAS_ROUTE,1583
8627,8647,HAS_ROUTE,355
8627,8648,HAS_ROUTE,2176
8627,8649,HAS_ROUTE,2133
8627,8650,HAS_ROUTE,2110
8627,8651,HAS_ROUTE,407
8627,8652,HAS_ROUTE,1886
8627,8653,HAS_ROUTE,1928
8627,8654,HAS_ROUTE,1913
8627,8655,HAS_ROUTE,1586
8627,8656,HAS_ROUTE,1742
8627,8657,HAS_ROUTE,1196
8627,8658,HAS_ROUTE,780
8627,8659,HAS_ROUTE,872
8627,8660,HAS_ROUTE,424
8627,8661,HAS_ROUTE,745
8627,8662,HAS_ROUTE,694
8627,8663,HAS_ROUTE,4492
8627,8664,HAS_ROUTE,694
8627,8665,HAS_ROUTE,1279
8627,8666,HAS_ROUTE,1547
8627,8667,HAS_ROUTE,555
8627,8668,HAS_ROUTE,2124
8627,8669,HAS_ROUTE,1537
8627,8671,HAS_ROUTE,665
8627,8672,HAS_ROUTE,595
8628,8634,HAS_ROUTE,3036
8628,8637,HAS_ROUTE,3259
8628,8639,HAS_ROUTE,2341
8628,8643,HAS_ROUTE,2510
8628,8644,HAS_ROUTE,2837
8628,8646,HAS_ROUTE,2547
8628,8648,HAS_ROUTE,1444
8628,8649,HAS_ROUTE,2014
8628,8653,HAS_ROUTE,2356
8628,8656,HAS_ROUTE,2300
8628,8657,HAS_ROUTE,2399
8628,8663,HAS_ROUTE,2778
8629,8627,HAS_ROUTE,811
8629,8630,HAS_ROUTE,755
8629,8631,HAS_ROUTE,1695
8629,8632,HAS_ROUTE,1339
8629,8633,HAS_ROUTE,1313
8629,8634,HAS_ROUTE,190
8629,8635,HAS_ROUTE,1103
8629,8636,HAS_ROUTE,1294
8629,8637,HAS_ROUTE,140
8629,8638,HAS_ROUTE,1518
8629,8639,HAS_ROUTE,1238
8629,8641,HAS_ROUTE,992
8629,8642,HAS_ROUTE,1101
8629,8643,HAS_ROUTE,1042
8629,8644,HAS_ROUTE,978
8629,8646,HAS_ROUTE,870
8629,8647,HAS_ROUTE,1159
8629,8648,HAS_ROUTE,1768
8629,8649,HAS_ROUTE,1500
8629,8650,HAS_ROUTE,1473
8629,8651,HAS_ROUTE,925
8629,8652,HAS_ROUTE,1161
8629,8653,HAS_ROUTE,1223
8629,8654,HAS_ROUTE,1206
8629,8655,HAS_ROUTE,1085
8629,8656,HAS_ROUTE,1087
8629,8657,HAS_ROUTE,775
8629,8659,HAS_ROUTE,66
