,predicate,object
0,HAS_ROUTE,9487
1,HAS_ROUTE,8637
2,ON_CONTINENT,17250
3,HAS_ROUTE,8642
4,HAS_ROUTE,8694
5,HAS_ROUTE,8640
6,HAS_ROUTE,8634
7,HAS_ROUTE,9908
8,HAS_ROUTE,9450
9,ON_CONTINENT,17252
10,HAS_ROUTE,8972
11,IN_COUNTRY,17227
12,ON_CONTINENT,17248
13,HAS_ROUTE,8854
14,IN_COUNTRY,17135
15,ON_CONTINENT,17248
16,IN_REGION,15510
17,HAS_ROUTE,8705
18,HAS_ROUTE,8641
19,HAS_ROUTE,10792
20,ON_CONTINENT,17253
21,HAS_ROUTE,8791
22,HAS_ROUTE,10929
23,IN_REGION,16227
24,ON_CONTINENT,17248
25,HAS_ROUTE,9114
26,HAS_ROUTE,8762
27,IN_CITY,14321
28,IN_COUNTRY,17053
29,IN_COUNTRY,17016
30,IN_CITY,12395
31,IN_COUNTRY,17036
32,HAS_ROUTE,9283
33,HAS_ROUTE,11899
34,IN_COUNTRY,17016
35,HAS_ROUTE,8758
36,HAS_ROUTE,8888
37,HAS_ROUTE,9496
38,HAS_ROUTE,8840
39,IN_CITY,12299
40,ON_CONTINENT,17249
41,HAS_ROUTE,8767
42,HAS_ROUTE,10256
43,HAS_ROUTE,8913
44,IN_REGION,16167
45,HAS_ROUTE,8648
46,IN_COUNTRY,17143
47,IN_REGION,16613
48,IN_COUNTRY,17016
49,HAS_ROUTE,9410
50,HAS_ROUTE,10799
51,HAS_ROUTE,9900
52,HAS_ROUTE,8950
53,IN_CITY,13132
54,HAS_ROUTE,8682
55,HAS_ROUTE,10518
56,IN_REGION,16203
57,HAS_ROUTE,9789
58,IN_REGION,15752
59,HAS_ROUTE,9211
60,HAS_ROUTE,8874
61,IN_REGION,15490
62,HAS_ROUTE,9420
63,ON_CONTINENT,17250
64,IN_REGION,15518
65,HAS_ROUTE,8820
66,HAS_ROUTE,9206
67,HAS_ROUTE,9442
68,HAS_ROUTE,8678
69,HAS_ROUTE,8660
70,HAS_ROUTE,9037
71,HAS_ROUTE,9353
72,IN_REGION,15577
73,IN_COUNTRY,17053
74,HAS_ROUTE,8642
75,ON_CONTINENT,17250
76,ON_CONTINENT,17251
77,HAS_ROUTE,8674
78,HAS_ROUTE,8979
79,HAS_ROUTE,8668
80,HAS_ROUTE,9181
81,HAS_ROUTE,8639
82,HAS_ROUTE,8911
83,IN_REGION,16568
84,IN_COUNTRY,17027
85,IN_COUNTRY,17103
86,HAS_ROUTE,8831
87,HAS_ROUTE,8666
88,IN_CITY,15051
89,IN_COUNTRY,17044
90,HAS_ROUTE,8962
91,HAS_ROUTE,9542
92,HAS_ROUTE,8797
93,ON_CONTINENT,17250
94,HAS_ROUTE,8682
95,HAS_ROUTE,8797
96,HAS_ROUTE,10063
97,ON_CONTINENT,17249
98,HAS_ROUTE,9286
99,HAS_ROUTE,8931
100,IN_COUNTRY,17027
101,HAS_ROUTE,8695
102,HAS_ROUTE,9119
103,HAS_ROUTE,8693
104,IN_COUNTRY,17150
105,HAS_ROUTE,8644
106,ON_CONTINENT,17252
107,IN_REGION,15618
108,HAS_ROUTE,8636
109,HAS_ROUTE,9108
110,HAS_ROUTE,8963
111,ON_CONTINENT,17250
112,HAS_ROUTE,8729
113,HAS_ROUTE,11600
114,HAS_ROUTE,8630
115,IN_REGION,15811
116,IN_COUNTRY,17044
117,HAS_ROUTE,9352
118,HAS_ROUTE,9119
119,HAS_ROUTE,9303
120,HAS_ROUTE,8656
121,ON_CONTINENT,17250
122,HAS_ROUTE,8710
123,IN_REGION,16750
124,HAS_ROUTE,8788
125,HAS_ROUTE,8963
126,HAS_ROUTE,8814
127,IN_CITY,14239
128,HAS_ROUTE,9798
129,IN_CITY,12523
130,IN_COUNTRY,17016
131,HAS_ROUTE,9802
132,HAS_ROUTE,8874
133,IN_REGION,16572
134,IN_REGION,15943
135,HAS_ROUTE,8674
136,HAS_ROUTE,8727
137,HAS_ROUTE,8787
138,HAS_ROUTE,8681
139,HAS_ROUTE,9452
140,HAS_ROUTE,8963
141,HAS_ROUTE,8631
142,HAS_ROUTE,8686
143,HAS_ROUTE,9253
144,HAS_ROUTE,9653
145,HAS_ROUTE,9794
146,HAS_ROUTE,8798
147,IN_REGION,16178
148,HAS_ROUTE,8885
149,ON_CONTINENT,17250
150,IN_COUNTRY,17042
151,HAS_ROUTE,8631
152,ON_CONTINENT,17249
153,IN_COUNTRY,17114
154,HAS_ROUTE,8968
155,HAS_ROUTE,8637
156,IN_COUNTRY,17090
157,ON_CONTINENT,17250
158,HAS_ROUTE,8827
159,IN_REGION,16540
160,IN_REGION,15498
161,IN_COUNTRY,17016
162,HAS_ROUTE,8722
163,IN_COUNTRY,17016
164,IN_REGION,16639
165,IN_CITY,15366
166,HAS_ROUTE,8680
167,HAS_ROUTE,10807
168,HAS_ROUTE,9352
